Id,Time,Number_of_Casualties,Day_of_Week,Road_Type,Speed_limit,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,Junction_Detail,Number_of_Vehicles,Accident_Severity,kmeans5_cluster,gaussian_cluster,agglomerative_cluster
109,2,1,2.0,6,30.0,1,1,1,2,2,0,1,3,1,6,1
110,2,1,2.0,6,30.0,1,1,2,1,2,3,1,2,2,4,0
111,2,1,1.0,2,30.0,1,1,1,1,2,0,1,2,0,0,0
112,3,2,1.0,1,30.0,1,1,1,1,1,1,1,2,0,0,0
113,3,1,2.0,6,30.0,4,2,2,1,1,3,1,3,3,1,0
114,3,1,1.0,6,30.0,4,1,1,2,1,3,1,3,3,1,0
115,3,1,1.0,6,60.0,6,1,1,2,1,0,1,3,3,1,0
116,1,1,2.0,6,60.0,1,1,1,2,1,0,1,2,1,6,1
117,2,1,1.0,6,30.0,1,4,1,1,2,0,1,2,2,0,0
118,1,1,1.0,6,60.0,1,1,1,2,1,0,1,1,1,6,1
119,3,1,1.0,6,30.0,1,1,1,1,1,0,1,1,2,0,0
120,1,1,1.0,6,30.0,1,9,-1,1,3,3,1,3,4,0,0
121,2,1,1.0,6,30.0,1,1,1,1,1,0,1,2,2,0,0
122,2,1,1.0,6,60.0,1,1,1,2,1,0,1,3,1,6,1
123,1,1,1.0,6,40.0,1,1,1,2,1,0,1,3,1,6,1
124,2,1,1.0,1,30.0,1,1,1,1,1,1,1,2,0,0,0
125,2,1,2.0,9,30.0,1,1,1,1,2,0,1,3,2,4,0
126,3,1,2.0,6,30.0,1,9,-1,1,3,0,1,2,4,4,0
127,2,1,1.0,6,30.0,1,1,1,1,1,3,1,3,2,0,0
128,2,1,2.0,6,30.0,4,1,1,1,2,6,1,3,3,5,0
129,2,1,1.0,6,30.0,4,2,2,1,2,0,1,3,3,1,0
130,2,1,2.0,6,30.0,1,1,1,1,1,6,1,3,2,4,0
131,2,1,2.0,6,40.0,1,1,1,2,1,0,1,2,1,6,1
132,1,1,2.0,6,30.0,1,1,1,1,1,9,1,3,2,4,0
133,2,1,1.0,6,30.0,1,2,2,1,1,6,1,3,2,0,0
134,2,1,1.0,6,30.0,1,1,1,1,1,0,1,2,2,0,0
135,3,1,1.0,6,30.0,4,1,1,1,1,0,1,3,3,5,0
136,2,1,2.0,2,30.0,1,1,1,1,1,0,1,3,0,4,0
137,2,1,2.0,6,30.0,1,9,1,1,1,0,1,2,4,4,0
138,2,2,1.0,6,30.0,1,1,1,1,1,3,1,3,2,0,0
139,3,1,1.0,3,30.0,4,9,2,1,2,3,1,2,4,3,0
140,2,1,2.0,6,30.0,1,1,1,2,1,3,1,3,1,6,1
141,1,1,1.0,6,60.0,1,1,1,2,1,0,1,2,1,6,1
